id,name,protiens,calories,fat,total_carbs,fiber,sugar,net_carbs,portion,unit,created_by,edit_by,created_at,updated_at,glycemic_index
75,salad leaves,2,21,0,3,2,0,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:17,2023-08-30 13:04:15,15.0
76,orange,1,47,0,12,2,9,10,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:19,2023-09-03 18:58:25,35.0
77,chili pepper (red),2,40,0,9,2,5,7,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:20,2023-08-15 08:49:43,15.0
78,parsley,0,4,0,1,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:22,2023-08-30 14:04:14,15.0
79,brussels sprouts,3,43,0,9,4,2,5,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:23,2023-08-04 16:43:15,15.0
80,kale,3,35,2,4,4,1,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:25,2023-08-31 10:07:57,15.0
81,asparagus,2,20,0,4,2,2,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:26,2023-08-04 16:54:20,15.0
82,lettuce (iceberg),1,14,0,3,1,2,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:28,2023-08-15 06:40:24,15.0
83,cauliflower,2,25,0,5,2,2,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:29,2023-08-04 17:00:43,15.0
84,eggplant,1,25,0,6,3,4,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:31,2023-08-30 12:13:29,15.0
85,cucumber,1,12,0,3,1,1,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:32,2023-08-30 13:50:02,15.0
86,lettuce (romaine),1,19,0,4,3,1,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:34,2023-08-15 06:41:23,15.0
87,celery,1,14,0,3,2,1,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:35,2023-08-15 07:25:03,15.0
88,cabbage (napa/Chinese),1,16,0,3,1,1,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:37,2023-08-12 20:45:34,20.0
89,basil,0,2,0,0,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:39,2023-08-12 10:12:29,0.0
90,leek,2,61,0,14,2,4,12,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:40,2023-09-06 17:56:07,15.0
91,olives,1,116,11,6,2,0,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:42,2023-08-31 15:29:48,15.0
92,tomato,1,18,0,4,1,3,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:43,2023-08-15 08:13:10,30.0
93,green apple,1,51,0,14,3,11,11,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:45,2023-09-08 09:12:56,39.0
94,green beans,1,15,0,3,2,1,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:46,2023-08-30 13:42:04,32.0
95,thyme,1,10,0,2,1,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:48,2023-08-31 02:18:25,11.0
96,blueberries,1,57,0,15,3,10,12,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:49,2023-08-15 06:25:57,53.0
97,strawberry,1,32,0,8,2,5,6,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:51,2023-09-08 09:14:42,40.0
98,rosemary,0,13,1,2,1,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:52,2023-09-01 02:54:32,15.0
99,dill,0,4,0,1,0,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:54,2023-09-03 00:54:17,15.0
100,ghee,0,131,15,0,0,0,0,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:55,2023-08-29 06:31:13,0.0
101,coconut oil,0,268,30,0,0,0,0,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:57,2023-08-29 05:30:15,0.0
102,olive oil,0,265,30,0,0,0,0,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:53:59,2023-08-29 05:12:02,0.0
103,avocado oil,0,133,15,0,0,0,0,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:00,2023-08-29 06:30:45,0.0
104,cashew (raw),18,553,44,30,3,6,27,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:02,2023-08-13 12:30:38,25.0
106,coconut cream,1,59,6,1,0,0,1,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:05,2023-08-30 10:41:08,45.0
107,cumin powder,0,50,0,5,0,0,5,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:06,2023-08-30 13:09:18,15.0
108,garlic powder,2,33,0,7,1,0,6,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:08,2023-08-30 12:32:56,5.0
109,curry powder,1,33,1,6,5,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:09,2023-08-31 16:14:07,0.0
110,mayo,0,231,25,0,0,0,0,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:11,2023-08-29 13:44:52,0.0
111,mustard (yellow),1,18,1,2,1,0,1,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:12,2023-08-31 08:37:57,35.0
113,salt,0,0,0,0,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:15,2023-08-30 13:05:30,0.0
114,sardines,25,208,12,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:17,2023-08-30 14:44:15,0.0
115,chicken broth,1,4,0,0,0,0,0,100,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:18,2023-08-29 13:28:09,0.0
116,beef broth,1,5,0,0,0,0,0,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:20,2023-09-12 06:59:07,0.0
117,chili powder,1,28,1,5,4,1,2,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:21,2023-08-13 16:22:43,15.0
118,coconut flour,20,467,17,60,40,7,20,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:23,2023-08-30 18:32:01,51.0
119,onion powder,1,34,0,8,2,1,6,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:54:25,2023-08-30 11:03:52,15.0
