id,name,protiens,calories,fat,total_carbs,fiber,sugar,net_carbs,portion,unit,created_by,edit_by,created_at,updated_at,glycemic_index
409,rhubarb,1,21,0,5,2,1,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 15:28:07,2023-09-05 05:45:56,15.0
410,salami,22,425,37,1,0,1,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 15:30:46,2023-09-08 09:23:43,28.0
411,tarragon leaves (dried),0,5,0,1,0,0,1,2,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-24 04:57:51,2023-09-08 09:23:39,15.0
412,thai red curry paste,1,46,2,7,1,1,6,30,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-24 05:29:32,2023-09-08 09:25:23,0.0
413,wasabi paste,0,10,0,2,0,0,2,5,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-24 06:09:18,2023-09-08 09:25:18,41.0
414,turnip,1,28,0,6,2,4,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-24 10:51:23,2023-09-08 09:25:13,62.0
415,vanilla pods (Madagascan),0,29,0,1,0,1,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-24 15:49:46,2023-09-08 09:25:10,5.0
416,garlic (dried pieces),1,10,0,2,0,0,2,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-24 16:12:22,2023-08-30 12:31:29,30.0
417,goji berries,13,375,0,80,3,75,78,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-24 16:24:48,2023-09-08 09:25:04,29.0
418,sausage (smoked),17,286,23,2,0,1,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-24 16:35:35,2023-08-31 09:51:58,30.0
419,kelp noodles,0,5,0,0,1,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-24 16:41:43,2023-09-08 09:25:00,0.0
420,kombu seaweed,0,250,0,50,0,0,50,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-24 16:50:29,2023-09-08 09:24:56,0.0
421,prawns,14,73,0,1,0,0,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 06:44:52,2023-09-08 09:24:52,0.0
422,sriracha paste,1,26,0,6,1,4,5,28,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 07:15:03,2023-09-08 09:24:47,0.0
423,matcha powder,0,2,0,1,0,1,1,30,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 08:10:31,2023-09-08 09:24:43,0.0
424,garlic flakes,2,34,1,5,0,0,5,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 17:52:46,2023-08-30 12:31:11,30.0
425,agar agar powder,0,30,0,8,1,0,7,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 17:58:05,2023-09-08 09:24:39,0.0
426,brandy,0,64,0,0,0,0,0,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 18:02:15,2023-08-29 13:27:39,0.0
427,konjac (glucomannan) powder,0,25,0,10,10,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 18:17:10,2023-09-08 09:26:07,51.0
428,lime zest,0,5,0,2,1,1,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 18:27:28,2023-09-08 09:26:02,20.0
429,mustard powder,1,0,0,0,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 18:31:27,2023-09-08 09:25:57,35.0
430,parsley (flat leaf),0,4,0,1,0,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 22:05:06,2023-09-08 09:25:52,15.0
431,pork butt,19,159,8,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 22:08:21,2023-09-08 09:25:48,0.0
432,pork shanks,18,161,9,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 22:14:32,2023-09-08 09:25:44,0.0
433,psyllium husk powder,0,35,0,8,7,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-25 22:19:50,2023-09-08 09:25:40,0.0
434,lamb sirloin,28,204,9,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-31 08:25:28,2023-08-31 08:25:28,0.0
435,pork (cheek/jowl),6,655,70,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-31 09:41:12,2023-08-31 09:41:12,0.0
436,yeast (instant/active dry),4,35,1,4,1,0,3,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-31 10:14:24,2023-08-31 10:14:24,0.0
437,oregano,0,30,3,0,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-12 06:25:13,2023-09-12 06:25:13,0.0
438,quinoa,14,368,6,64,7,0,57,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-16 09:36:33,2023-09-16 09:36:33,53.0
439,maple syrup,0,333,0,88,0,88,88,100,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-19 06:54:58,2023-09-19 06:54:58,54.0
440,brown rice flour,9,371,3,77,3,0,74,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-19 07:42:46,2023-09-19 07:42:46,62.0
441,potato starch (flour),0,333,0,83,0,0,83,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-19 07:46:38,2023-09-19 07:46:38,95.0
442,jackfruit,2,95,1,23,1,19,22,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-19 08:08:06,2023-09-19 08:08:06,60.0
443,tomato puree,2,32,0,6,2,5,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-19 08:15:14,2023-09-19 08:15:14,30.0
444,lentils,25,352,1,63,11,2,52,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-19 08:33:59,2023-09-19 08:33:59,30.0
445,chickpeas,5,85,2,14,4,2,10,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-19 08:53:52,2023-09-19 08:53:52,30.0
446,chickpea flour,17,417,4,75,17,0,58,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-19 09:11:02,2023-09-19 09:11:02,44.0
447,rutabaga,1,37,0,8,2,5,6,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-20 08:50:53,2023-09-20 08:50:53,72.0
448,black beans,9,132,1,24,9,0,15,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-09-20 09:14:54,2023-09-20 09:14:54,30.0
